Name,Year,Manufacture,State,Color,Fuel type,Transmission,Engine,VIN,Mileage,Price
Renegade Latitude FWD,2020,Jeep,"Tuscaloosa, AL
89 mi away",Omaha Orange Clearcoat,Gasoline,Automatic,180 hp 2.4L I4,ZACNJABB8LPL34523,"11,650 miles","$21,977"
1500 Big Horn Crew Cab 4WD,2019,RAM,"Fultondale, AL
90 mi away",Silver,,Automatic,,1C6RR7LT0KS524503,"34,809 miles","$34,999"
1500 Laramie Crew Cab 4WD,2019,RAM,"Auburn, AL
48 mi away",Gray (Granite Crystal Metallic Clearcoat),Flex Fuel Vehicle,Automatic,305 hp 3.6L V6 Flex Fuel Vehicle,1C6RRFJG5KN749210,"27,957 miles","$44,369"
MKC Black Label AWD,2018,Lincoln,"Pelham, AL
73 mi away",Black,Gasoline,Automatic,240 hp 2L I4,5LMCJ4D97JUL11826,"13,460 miles","$31,994"
Passport Elite AWD,2019,Honda,"Cottondale, AL
87 mi away",White,Gasoline,Automatic,280 hp 3.5L V6,5FNYF8H08KB003561,"42,524 miles","$33,408"
Silverado 1500 LT Double Cab RWD,2018,Chevrolet,"Tuscaloosa, AL
89 mi away",Silver Ice Metallic,Gasoline,6-Speed Automatic Overdrive,355 hp 5.3L V8,1GCRCREC5JZ158062,"42,287 miles","$28,963"
Explorer XLT,2018,Ford,"Enterprise, AL
76 mi away",Red (Burgundy),Gasoline,6-Speed Automatic,290 hp 3.5L V6,1FM5K7D8XJGA23475,"72,821 miles","$23,934"
Sonata GLS FWD,2014,Hyundai,"Montgomery, AL
5 mi away",Harbor Gray Metallic,Gasoline,6-Speed Automatic,198 hp 2.4L I4,5NPEB4AC0EH940311,"87,352 miles","$9,999"
Cherokee Latitude FWD,2020,Jeep,"Montgomery, AL
5 mi away",Velvet Red Pearlcoat,Gasoline,9-Speed Automatic,180 hp 2.4L I4,1C4PJLCB3LD570064,"24,705 miles","$21,999"
Explorer Limited AWD,2020,Ford,"Tuscaloosa, AL
91 mi away",Black,Gasoline,Automatic,2.3L I4,1FMSK8FH5LGB99763,"28,374 miles","$38,965"
Silverado 1500 LT Crew Cab 4WD,2014,Chevrolet,"Birmingham, AL
89 mi away",Blue,Flex Fuel Vehicle,Automatic,5.3L V8 Flex Fuel Vehicle,1GCUKREC0EF194259,"116,015 miles","$22,995"
Armada SL RWD,2020,Nissan,"Pelham, AL
72 mi away",Gray,Gasoline,Automatic,390 hp 5.6L V8,JN8AY2ND2LX017015,"31,558 miles","$39,950"
Suburban 1500 LT 4WD,2017,Chevrolet,"Birmingham, AL
84 mi away",Black,Flex Fuel Vehicle,Automatic,355 hp 5.3L V8 Flex Fuel Vehicle,1GNSKHKC2HR160050,"87,919 miles","$35,995"
2500 Big Horn Crew Cab 4WD,2018,RAM,"Columbus, GA
80 mi away",Bright White Clearcoat,Diesel,6-Speed Automatic,350 hp 6.7L I6 Diesel,3C6UR5DL3JG126110,"47,748 miles","$51,495"
Mirage G4 ES FWD,2018,Mitsubishi,"Birmingham, AL
89 mi away",White,Gasoline,Continuously Variable Transmission,78 hp 1.2L I3,ML32F3FJ1JHF05644,"72,027 miles","$6,995"
Rogue SV FWD,2018,Nissan,"Andalusia, AL
74 mi away",White,Gasoline,Continuously Variable Transmission,170 hp 2.5L I4,KNMAT2MT6JP594890,"164,344 miles","$12,733"
1500 Limited Crew Cab RWD,2019,RAM,"Birmingham, AL
82 mi away",Red,Gasoline,Automatic,395 hp 5.7L V8,1C6RREHTXKN526805,"79,507 miles","$40,998"
EcoSport Titanium FWD,2019,Ford,"Alexander City, AL
44 mi away",Red,Gasoline,,123 hp 1L I3,MAJ3S2KEXKC251045,"32,760 miles","$17,990"
Sorento LX,2015,Kia,"Anniston, AL
92 mi away",Gray,Gasoline,6-Speed Automatic,191 hp 2.4L I4,5XYKT3A68FG648368,"97,277 miles","$13,201"
Sierra 1500 Base Double Cab,2017,GMC,"Lagrange, GA
88 mi away",Dark Slate Metallic,Gasoline,Automatic,355 hp 5.3L V8,1GTR1LEC5HZ228642,"27,599 miles","$28,598"
Titan PRO-4X Crew Cab 4WD,2017,Nissan,"Heflin, AL
98 mi away",Deep Blue Pearl,Gasoline,7-Speed Automatic,390 hp 5.6L V8,1N6AA1E54HN554679,"88,975 miles","$31,835"
X2 sDrive28i FWD,2019,BMW,"Pelham, AL
73 mi away",Jet Black,Gasoline,Automatic,228 hp 2L I4,WBXYJ3C54K5N62016,"14,566 miles","$28,996"
Bronco Sport Outer Banks AWD,2021,Ford,"Tuscaloosa, AL
90 mi away",Brown,Gasoline,8-Speed Automatic,181 hp 1.5L I3,3FMCR9C66MRA29723,"4,071 miles","$39,000"
Edge SEL AWD,2018,Ford,"Ozark, AL
76 mi away",Shadow Black,Gasoline,6-Speed Automatic,280 hp 3.5L V6,2FMPK4J89JBB02543,"23,920 miles","$26,500"
X2 xDrive28i AWD,2018,BMW,"Columbus, GA
78 mi away",Black Sapphire Metallic,Gasoline,8-Speed Automatic,228 hp 2L I4,WBXYJ5C35JEF80343,"83,376 miles","$23,989"
Sonata Hybrid Limited FWD,2015,Hyundai,"Cropwell, AL
78 mi away",Starlight Silver,Hybrid,Automatic,199 hp 2.4L I4 Hybrid,KMHEC4A46FA134063,"79,512 miles","$12,580"
Tundra,2013,Toyota,"Tuscaloosa, AL
91 mi away",Gray (Platinum),Gasoline,6-Speed Automatic,381 hp 5.7L V8,5TFFY5F19DX138181,"172,976 miles","$21,499"
Enclave CXL FWD,2009,Buick,"Birmingham, AL
84 mi away",Blue,Gasoline,Automatic,288 hp 3.6L V6,5GAER23D79J198302,"171,551 miles","$4,500"
Accord EX-L V6,2012,Honda,"Birmingham, AL
83 mi away",Black,Gasoline,Automatic,271 hp 3.5L V6,1HGCP3F85CA012832,"89,762 miles","$11,999"
Optima LX,2014,Kia,"Bessemer, AL
84 mi away",White,Gasoline,6-Speed Automatic,192 hp 2.4L I4,KNAGM4A75E5478928,"113,977 miles","$7,999"
Tucson SE AWD,2020,Hyundai,"Birmingham, AL
82 mi away",White,Gasoline,Automatic,161 hp 2L I4,KM8J2CA45LU212063,"47,611 miles","$21,209"
Expedition Limited RWD,2019,Ford,"Cottondale, AL
87 mi away",Ingot Silver Metallic,Gasoline,Automatic,375 hp 3.5L V6,1FMJU1KT1KEA11449,"49,022 miles","$49,472"
7 Series 740i RWD,2019,BMW,"Montgomery, AL
5 mi away",Gray,Gasoline,Automatic,320 hp 3L I6,WBA7E2C56KB216460,"19,191 miles","$53,996"
Mirage G4 ES FWD,2018,Mitsubishi,"Pelham, AL
72 mi away",White,Gasoline,Automatic,78 hp 1.2L I3,ML32F3FJ9JHF09862,"32,419 miles","$9,950"
MKC Reserve FWD,2018,Lincoln,"Auburn, AL
48 mi away",Blue,Gasoline,Automatic,240 hp 2L I4,5LMCJ3C91JUL12692,"38,192 miles","$28,899"
Tucson GLS FWD,2014,Hyundai,"Birmingham, AL
82 mi away",Gray,Gasoline,Automatic,164 hp 2L I4,KM8JT3AF0EU843983,"105,151 miles","$10,997"
Tahoe LT 4WD,2008,Chevrolet,"Heflin, AL
96 mi away",Summit White,Flex Fuel Vehicle,4-Speed Automatic Overdrive,320 hp 5.3L V8 Flex Fuel Vehicle,1GNFK13038R185553,"84,852 miles","$13,500"
Silverado 2500HD High Country Crew Cab 4WD,2016,Chevrolet,"Birmingham, AL
83 mi away",Black,Flex Fuel Vehicle,Automatic,360 hp 6L V8 Flex Fuel Vehicle,1GC1KXEG3GF243418,"79,229 miles","$42,999"
MDX AWD with Touring Package,2005,Acura,"Birmingham, AL
83 mi away",Gray,Gasoline,Automatic,265 hp 3.5L V6,2HNYD18605H500372,"198,127 miles","$3,600"
QX50 Journey AWD,2015,INFINITI,"Birmingham, AL
83 mi away",Silver,Gasoline,Automatic,325 hp 3.7L V6,JN1BJ0HRXFM772499,"56,890 miles","$18,499"
Renegade Limited,2017,Jeep,"Enterprise, AL
76 mi away",Gray (Granite Crystal Metallic Clearcoat),Flex Fuel Vehicle,9-Speed Automatic,180 hp 2.4L I4 Flex Fuel Vehicle,ZACCJADB2HPE72122,"71,869 miles","$16,894"
F-150 XLT SuperCab 4WD,2012,Ford,"Pelham, AL
72 mi away",White,Flex Fuel Vehicle,Automatic,302 hp 3.7L V6 Flex Fuel Vehicle,1FTEX1EM7CFC41994,"102,424 miles","$15,950"
370Z Base,2011,Nissan,"Maylene, AL
68 mi away",Silver,Gasoline,6-Speed Manual,332 hp 3.7L V6,JN1AZ4EH4BM554978,"191,000 miles","$12,995"
GLE-Class GLE 350,2018,Mercedes-Benz,"Pelham, AL
72 mi away",Silver,Gasoline,Automatic,302 hp 3.5L V6,4JGDA5JBXJB102838,"43,055 miles","$34,284"
Tundra,2017,Toyota,"Birmingham, AL
78 mi away",Super White,Flex Fuel Vehicle,6-Speed Automatic Overdrive,381 hp 5.7L V8 Flex Fuel Vehicle,5TFRW5F16HX213251,"55,799 miles","$34,355"
F-250 Super Duty,2012,Ford,"Bessemer, AL
84 mi away",Red,Flex Fuel Vehicle,6-Speed Automatic,385 hp 6.2L V8 Flex Fuel Vehicle,1FT7X2A62CEA41536,"105,663 miles","$18,475"
EcoSport SE,2018,Ford,"Montgomery, AL
5 mi away",Diamond White,Gasoline,6-Speed Automatic,123 hp 1L I3,MAJ3P1TE9JC242734,"30,303 miles","$16,990"
Rogue SV AWD,2020,Nissan,"Birmingham, AL
82 mi away",Blue,Gasoline,Continuously Variable Transmission,170 hp 2.5L I4,KNMAT2MV0LP528226,"39,474 miles","$22,589"
Grand Caravan SXT FWD,2020,Dodge,"Pelham, AL
72 mi away",Black,Flex Fuel Vehicle,Automatic,283 hp 3.6L V6 Flex Fuel Vehicle,2C4RDGCG1LR169760,"43,394 miles","$23,500"
Sonata Sport FWD,2015,Hyundai,"Cropwell, AL
78 mi away",Symphony Silver,Gasoline,Automatic,185 hp 2.4L I4,5NPE24AF6FH225948,"62,844 miles","$13,835"
Silverado 1500 High Country Crew Cab 4WD,2019,Chevrolet,"Auburn, AL
48 mi away",White,Gasoline,Automatic,420 hp 6.2L V8,1GCUYHEL4KZ133449,"46,152 miles","$55,809"
Armada SV RWD,2019,Nissan,"Sylacauga, AL
56 mi away",Gray (Gun Metallic),Gasoline,Automatic,390 hp 5.6L V8,JN8AY2ND5K9093234,"25,735 miles","$39,997"
Equinox 1.5T LT FWD,2018,Chevrolet,"Birmingham, AL
83 mi away",Silver,Gasoline,Automatic,1.5L I4,2GNAXJEV4J6344540,"82,995 miles","$16,996"
Levante 3.0L AWD,2017,Maserati,"Birmingham, AL
84 mi away",White,Gasoline,Automatic,345 hp 3L V6,ZN661XUA6HX253375,"53,773 miles","$39,995"
NX 300 F Sport FWD,2020,Lexus,"Birmingham, AL
83 mi away",Silver,Gasoline,Automatic,235 hp 2L I4,JTJJARBZ4L2171941,"12,319 miles","$39,999"
Corolla LE,2017,Toyota,"Maylene, AL
68 mi away",Pewter,Gasoline,7-Speed CVT,132 hp 1.8L I4,2T1BURHEXHC816765,"103,562 miles","$12,995"
X1 sDrive28i FWD,2021,BMW,"Montgomery, AL
5 mi away",Black,Gasoline,Automatic,228 hp 2L I4,WBXJG7C08M5T58785,"4,630 miles","$35,751"
F-150 Lariat SuperCrew 4WD,2018,Ford,"Heflin, AL
98 mi away",White Platinum,Gasoline,Automatic,375 hp 3.5L V6,1FTEW1EG8JFD01775,"76,165 miles","$36,790"
Stinger GT2 AWD,2019,Kia,"Anniston, AL
92 mi away",Black (BLK),Gasoline,8-Speed Automatic,365 hp 3.3L V6,KNAE55LC1K6064734,"21,306 miles","$41,952"
Edge SEL FWD,2019,Ford,"Birmingham, AL
82 mi away",Blue,Gasoline,Automatic,250 hp 2L I4,2FMPK3J97KBC68919,"22,615 miles","$26,259"
Silverado 1500 LT Crew Cab 4WD,2017,Chevrolet,"Thomasville, AL
93 mi away",Black,Gasoline,Automatic,355 hp 5.3L V8,3GCUKREC8HG171167,"78,918 miles","$30,875"
Armada SL,2018,Nissan,"Enterprise, AL
76 mi away",Pearl White,Gasoline,7-Speed Automatic,390 hp 5.6L V8,JN8AY2ND7J9058628,"70,086 miles","$33,385"
Sierra 1500 SLT Crew Cab,2015,GMC,"Andalusia, AL
74 mi away",Green,Gasoline,Automatic,355 hp 5.3L V8,3GTP1VEC0FG394700,"113,360 miles","$26,397"
Gladiator Mojave Crew Cab 4WD,2021,Jeep,"Montgomery, AL
5 mi away",Black,Gasoline,Automatic,285 hp 3.6L V6,1C6JJTEG4ML539807,"14,414 miles","$46,998"
F-150 XL SuperCrew 4WD,2019,Ford,"Birmingham, AL
82 mi away",White,Gasoline,Automatic,325 hp 2.7L V6,1FTEW1EP5KFC83155,"13,156 miles","$37,989"
ES 350 FWD,2020,Lexus,"Tuscaloosa, AL
89 mi away",Eminent White Pearl,Gasoline,8-Speed Automatic,302 hp 3.5L V6,58ACZ1B19LU063968,"14,685 miles","$37,589"
MKC Reserve FWD,2018,Lincoln,"Auburn, AL
48 mi away",Black,Gasoline,Automatic,240 hp 2L I4,5LMCJ3C97JUL07951,"57,472 miles","$25,918"
F-150 XL SuperCrew 4WD,2017,Ford,"Ozark, AL
76 mi away",Oxford White,Gasoline,6-Speed Automatic,325 hp 2.7L V6,1FTEW1EPXHKC50961,"31,922 miles","$33,564"
CR-V EX AWD,2017,Honda,"Andalusia, AL
74 mi away",,Gasoline,Continuously Variable Transmission,190 hp 1.5L I4,5J6RW2H59HL040695,"29,713 miles","$24,250"
Explorer Limited 4WD,2013,Ford,"Montgomery, AL
4 mi away",Black,Gasoline,Automatic,290 hp 3.5L V6,1FM5K8F82DGA21985,"170,000 miles","$9,990"
Santa Fe 3.5L SE FWD,2011,Hyundai,"Birmingham, AL
84 mi away",Red,Gasoline,Automatic,276 hp 3.5L V6,5XYZH4AG5BG042597,"124,908 miles","$7,500"
Golf Alltrack SE 4Motion AWD,2019,Volkswagen,"Hoover, AL
75 mi away",Platinum Gray Metallic,Gasoline,6-Speed Dual Clutch,170 hp 1.8L I4,3VWH17AU8KM502908,"18,649 miles","$25,995"
Accord 1.5T LX FWD,2018,Honda,"Birmingham, AL
89 mi away",Crystal Black Pearl,Gasoline,Continuously Variable Transmission,192 hp 1.5L I4,1HGCV1F17JA053473,"94,229 miles","$17,990"
Trax LS FWD,2017,Chevrolet,"Anniston, AL
93 mi away",SUMMIT WHITE,Gasoline,6-Speed Automatic,138 hp 1.4L I4,3GNCJKSB8HL133678,"151,549 miles","$8,998"
4Runner TRD Off-Road 4WD,2017,Toyota,"Birmingham, AL
82 mi away",Gray,Gasoline,Automatic,270 hp 4L V6,JTEBU5JR1H5409853,"23,657 miles","$39,189"
2500 Laramie Crew Cab 4WD,2018,RAM,"Cottondale, AL
87 mi away",Red Pearlcoat,Diesel,Automatic,350 hp 6.7L I6 Diesel,3C6UR5FL2JG100935,"22,360 miles","$59,534"
4Runner SR5,2016,Toyota,"Helena, AL
71 mi away",Gray,Gasoline,5-Speed Automatic,270 hp 4L V6,JTEZU5JRXG5111864,"113,000 miles","$24,000"
Fusion SE,2017,Ford,"Hoover, AL
75 mi away",Red (Burgundy),Gasoline,6-Speed Automatic,181 hp 1.5L I4,3FA6P0HD0HR302869,"62,754 miles","$14,995"
Silverado 1500 Work Truck RWD,2012,Chevrolet,"Mc Calla, AL
78 mi away",White,Flex Fuel Vehicle,Automatic,302 hp 4.8L V8 Flex Fuel Vehicle,1GCNCPEA9CZ109449,"148,823 miles","$9,500"
1500 Express Crew Cab 4WD,2015,RAM,"Tuscaloosa, AL
91 mi away",Black,Flex Fuel Vehicle,,305 hp 3.6L V6 Flex Fuel Vehicle,1C6RR7KGXFS711600,"139,486 miles","$18,999"
Escape SE AWD,2014,Ford,"Alabaster, AL
68 mi away",White,Gasoline,Automatic,240 hp 2L I4,1FMCU9G95EUD64369,"100,406 miles","$10,900"
Town & Country Touring FWD,2015,Chrysler,"Maylene, AL
68 mi away",Pewter,Flex Fuel Vehicle,6-Speed Automatic,283 hp 3.6L V6 Flex Fuel Vehicle,2C4RC1BG5FR726174,"144,906 miles","$8,299"
Charger SXT RWD,2018,Dodge,"Anniston, AL
92 mi away",Blue,Gasoline,8-Speed Automatic,292 hp 3.6L V6,2C3CDXBG0JH236993,"83,647 miles","$24,955"
Altima 2.5,2015,Nissan,"Birmingham, AL
89 mi away",White,Gasoline,Continuously Variable Transmission,182 hp 2.5L I4,1N4AL3AP7FN900579,"140,077 miles","$7,495"
Civic Coupe LX,2006,Honda,"Bessemer, AL
84 mi away",Blue,Gasoline,5-Speed Automatic,140 hp 1.8L I4,2HGFG12696H555712,"116,836 miles","$4,950"
Altima 2017.5 2.5 SV,2017,Nissan,"Birmingham, AL
76 mi away",Gray,Gasoline,Automatic,182 hp 2.5L I4,1N4AL3AP7HC286924,"91,072 miles","$12,900"
1500 Night Crew Cab 4WD,2018,RAM,"Cottondale, AL
87 mi away",Bright Silver Clearcoat Metallic,Gasoline,Automatic,395 hp 5.7L V8,1C6RR7MT3JS209806,"78,629 miles","$33,626"
GLE-Class GLE 350 4MATIC AWD,2020,Mercedes-Benz,"Columbus, GA
80 mi away",Mojave Silver Metallic,Gasoline,Automatic,255 hp 2L I4,4JGFB4KB7LA078327,"19,172 miles","$57,699"
X1 sDrive28i FWD,2021,BMW,"Montgomery, AL
5 mi away",Black,Gasoline,Automatic,228 hp 2L I4,WBXJG7C03M5T72416,"3,985 miles","$35,981"
Traverse LT Leather FWD,2020,Chevrolet,"Birmingham, AL
77 mi away",Silver Ice Metallic,Gasoline,9-Speed Automatic,310 hp 3.6L V6,1GNERHKW6LJ171045,"71,194 miles","$32,949"
Tacoma PreRunner Double Cab SB,2014,Toyota,"Cropwell, AL
78 mi away",Super White,Gasoline,Automatic,159 hp 2.7L I4,5TFJX4GN3EX028530,"127,051 miles","$18,410"
F-150 XL SuperCab 4WD,2018,Ford,"Birmingham, AL
82 mi away",Black,Gasoline,Automatic,325 hp 2.7L V6,1FTEX1EP3JKD79109,"24,479 miles","$32,989"
Sierra 1500 Denali Crew Cab,2017,GMC,"Birmingham, AL
82 mi away",White,Gasoline,Automatic,355 hp 5.3L V8,3GTP1PEC2HG282821,"47,266 miles","$39,989"
Tahoe LTZ 4WD,2013,Chevrolet,"Birmingham, AL
83 mi away",Black,Flex Fuel Vehicle,Automatic,320 hp 5.3L V8 Flex Fuel Vehicle,1GNSKCE07DR194385,"122,828 miles","$21,999"
Focus SE Hatchback,2015,Ford,"Bessemer, AL
82 mi away",Blue,Flex Fuel Vehicle,6-Speed Automatic,160 hp 2L I4 Flex Fuel Vehicle,1FADP3K22FL328613,"105,723 miles","$6,950"
Grand Caravan GT FWD,2019,Dodge,"Birmingham, AL
82 mi away",White,Flex Fuel Vehicle,Automatic,283 hp 3.6L V6 Flex Fuel Vehicle,2C4RDGEGXKR707075,"48,087 miles","$22,889"
F-150 XLT SuperCrew 4WD,2016,Ford,"Heflin, AL
96 mi away",Champagne,Gasoline,6-Speed Automatic,325 hp 2.7L V6,1FTEW1EP3GKE08541,"159,043 miles","$20,904"
Ranger XLT SuperCrew 4WD,2020,Ford,"Auburn, AL
48 mi away",Iconic Silver Metallic,Gasoline,Automatic,2.3L I4,1FTER4FH4LLA78493,"9,932 miles","$39,992"
F-150 XLT SuperCab 4WD,2019,Ford,"Birmingham, AL
82 mi away",White,Gasoline,Automatic,325 hp 2.7L V6,1FTEX1EP3KKC66343,"13,882 miles","$36,739"
Outback 2.5i Limited AWD,2018,Subaru,"Columbus, GA
79 mi away",Magnetite Gray Metallic,Gasoline,Continuously Variable Transmission,175 hp 2.5L H4,4S4BSANC9J3256631,"75,864 miles","$21,997"
Sportage LX FWD,2019,Kia,"Birmingham, AL
82 mi away",Blue,Gasoline,Automatic,181 hp 2.4L I4,KNDPM3AC3K7555970,"44,435 miles","$18,989"
Expedition XLT 4WD,2016,Ford,"Anniston, AL
92 mi away",Ingot Silver Metallic,Gasoline,6-Speed Automatic,365 hp 3.5L V6,1FMJU1JT0GEF49262,"98,796 miles","$24,252"
Telluride SX FWD,2020,Kia,"Ozark, AL
76 mi away",Dark Moss,Gasoline,8-Speed Automatic,291 hp 3.8L V6,5XYP54HC8LG046292,"28,256 miles","$47,650"
Grand Cherokee Limited,2014,Jeep,"Montgomery, AL
5 mi away",Brown (Tan),Gasoline,Automatic,290 hp 3.6L V6,1C4RJEBG6EC444629,"114,238 miles","$14,999"
Savana Cargo 2500 RWD,2017,GMC,"Heflin, AL
96 mi away",Summit White,Flex Fuel Vehicle,6-Speed Automatic Overdrive,342 hp 6L V8 Flex Fuel Vehicle,1GTW7AFG6H1344289,"73,459 miles","$34,999"
Sportage LX FWD,2019,Kia,"Prattville, AL
11 mi away",Gray,Gasoline,6-Speed Automatic,181 hp 2.4L I4,KNDPM3AC7K7540405,"60,137 miles","$17,490"
Tucson 2.0L SE FWD,2017,Hyundai,"Tuscaloosa, AL
89 mi away",Black Noir Pearl,Gasoline,6-Speed Automatic,164 hp 2L I4,KM8J23A44HU546673,"46,461 miles","$17,694"
Sorento S FWD,2021,Kia,"Montgomery, AL
5 mi away",White,Gasoline,Automatic,191 hp 2.5L I4,5XYRL4LC7MG011993,"14,065 miles","$32,999"
NX 300 FWD,2019,Lexus,"Birmingham, AL
86 mi away",Black,Gasoline,Automatic,235 hp 2L I4,JTJYARBZ9K2120934,"16,685 miles","$36,645"
